Section,Key,Value1,Value2,Value3,Value4
KPI,AvgSprintCost,90000,2.5,,
KPI,BudgetUtilization,92,On track,,
KPI,ROI,4.2,Dashboard AI,,
KPI,Anomalies,None,Stable,,
Insight,Overage,Sprint 22,4%,Cloud infrastructure scaling,
Insight,Optimization,Legacy Cleanup,8000,Reallocate resources,
Chart_Sprint,S20,45000,50000,,
Chart_Sprint,S21,48000,50000,,
Chart_Sprint,S22,52000,50000,,
Chart_Sprint,S23,49000,50000,,
Chart_Sprint,S24,55000,52000,,
Chart_Sprint,S25,51000,52000,,
Chart_Scatter,Auth Rewrite,12000,85,7.1,
Chart_Scatter,Dashboard AI,25000,95,3.8,
Chart_Scatter,Legacy Cleanup,8000,40,5.0,
Chart_Scatter,Mobile App,45000,90,2.0,
Chart_Scatter,API Gateway,18000,75,4.2,
Chart_Scatter,Search V2,15000,60,4.0,
Chart_Scatter,Notif System,10000,55,5.5,
Chart_Burn,Jan,120,150,120,
Chart_Burn,Feb,250,300,250,
Chart_Burn,Mar,390,450,390,
Chart_Burn,Apr,540,600,550,
Chart_Burn,May,,750,710,
Chart_Burn,Jun,,900,880,
